order_id,product_id,quantity,unit_price,line_total
ECOM00000055,P0003,3,3.54,10.62
ECOM00000055,P0009,3,7.09,21.27
ECOM00000056,P0009,3,8.05,24.15
ECOM00000056,P0031,3,14.48,43.44
ECOM00000057,P0032,2,26.89,53.78
ECOM00000057,P0076,1,67.28,67.28
ECOM00000057,P0081,3,34.26,102.78
ECOM00000058,P0043,2,45.84,91.68
ECOM00000059,P0013,2,34.47,68.94
ECOM00000059,P0077,3,16.12,48.36
ECOM00000059,P0024,1,6.69,6.69
ECOM00000059,P0056,1,82.8,82.8
ECOM00000060,P0007,2,21.51,43.02
ECOM00000061,P0056,1,46.31,46.31
ECOM00000061,P0052,1,18.7,18.7
ECOM00000061,P0091,2,102.36,204.72
ECOM00000062,P0086,3,6.1,18.3
ECOM00000062,P0083,3,2.84,8.52
ECOM00000062,P0037,3,1.87,5.61
ECOM00000062,P0032,1,4.54,4.54
ECOM00000062,P0039,2,1.7,3.4
ECOM00000063,P0029,3,18.27,54.81
ECOM00000063,P0049,3,27.39,82.17
ECOM00000063,P0057,3,15.56,46.68
ECOM00000063,P0065,1,59.68,59.68
ECOM00000064,P0016,3,9.26,27.78
ECOM00000064,P0017,2,4.71,9.42
ECOM00000064,P0029,3,53.14,159.42
ECOM00000065,P0020,3,8.9,26.7
ECOM00000065,P0036,2,14.65,29.3
ECOM00000065,P0100,2,48.26,96.52
ECOM00000066,P0074,2,6.92,13.84
ECOM00000066,P0002,3,4.67,14.01
ECOM00000066,P0080,2,5.46,10.92
ECOM00000066,P0097,1,6.34,6.34
ECOM00000066,P0016,1,7.93,7.93
ECOM00000067,P0087,1,73.32,73.32
ECOM00000067,P0071,2,15.41,30.82
ECOM00000067,P0091,1,34.81,34.81
ECOM00000067,P0044,2,5.46,10.92
ECOM00000067,P0082,2,23.26,46.52
ECOM00000068,P0014,1,47.59,47.59
ECOM00000069,P0021,1,30.61,30.61
ECOM00000069,P0042,1,67.08,67.08
ECOM00000070,P0092,1,8.78,8.78
ECOM00000070,P0048,2,17.57,35.14
ECOM00000071,P0017,1,23.79,23.79
ECOM00000072,P0016,2,14.13,28.26
ECOM00000072,P0044,2,20.48,40.96
ECOM00000072,P0059,1,196.89,196.89
ECOM00000073,P0020,3,5.25,15.75
ECOM00000073,P0054,2,27.9,55.8
ECOM00000074,P0038,1,81.0,81.0
ECOM00000074,P0023,2,20.94,41.88
ECOM00000074,P0075,1,29.47,29.47
ECOM00000074,P0085,2,8.38,16.76
ECOM00000074,P0058,1,36.38,36.38
ECOM00000075,P0018,3,12.94,38.82
ECOM00000076,P0043,3,7.34,22.02
ECOM00000076,P0035,1,62.76,62.76
ECOM00000076,P0055,3,11.5,34.5
ECOM00000076,P0014,1,11.81,11.81
ECOM00000076,P0049,2,22.92,45.84
ECOM00000077,P0091,1,32.0,32.0
ECOM00000077,P0041,2,5.73,11.46
ECOM00000077,P0038,2,11.52,23.04
ECOM00000078,P0092,1,92.12,92.12
ECOM00000078,P0059,3,45.76,137.28
ECOM00000079,P0074,1,60.33,60.33
ECOM00000080,P0024,3,18.2,54.6
ECOM00000080,P0088,3,20.39,61.17
ECOM00000080,P0021,3,6.87,20.61
ECOM00000080,P0078,2,20.96,41.92
ECOM00000080,P0001,2,48.91,97.82
ECOM00000081,P0026,1,143.82,143.82
ECOM00000082,P0072,3,52.28,156.84
ECOM00000083,P0093,3,18.94,56.82
ECOM00000083,P0100,2,9.69,19.38
ECOM00000083,P0074,2,10.17,20.34
ECOM00000083,P0060,3,11.34,34.02
ECOM00000084,P0029,2,4.17,8.34
ECOM00000084,P0030,2,43.8,87.6
ECOM00000085,P0010,1,40.98,40.98
ECOM00000085,P0093,3,3.51,10.53
ECOM00000085,P0097,3,47.07,141.21
ECOM00000086,P0094,2,40.96,81.92
ECOM00000086,P0026,3,13.8,41.4
ECOM00000086,P0021,3,5.97,17.91
ECOM00000086,P0004,2,10.55,21.1
ECOM00000086,P0098,1,71.97,71.97
ECOM00000087,P0084,1,84.5,84.5
ECOM00000087,P0009,3,10.68,32.04
ECOM00000087,P0030,2,49.79,99.58
ECOM00000088,P0014,3,16.57,49.71
ECOM00000088,P0073,1,23.33,23.33
ECOM00000088,P0092,3,27.52,82.56
ECOM00000089,P0033,3,6.07,18.21
ECOM00000089,P0071,3,5.71,17.13
ECOM00000089,P0089,2,11.93,23.86
ECOM00000089,P0094,2,5.21,10.42
ECOM00000089,P0061,3,9.09,27.27
ECOM00000090,P0046,1,201.58,201.58
ECOM00000091,P0077,1,60.63,60.63
ECOM00000091,P0079,3,30.14,90.42
ECOM00000092,P0073,2,26.48,52.96
ECOM00000092,P0026,1,53.2,53.2
ECOM00000092,P0024,2,3.67,7.34
ECOM00000092,P0086,1,64.07,64.07
ECOM00000093,P0050,1,7.06,7.06
ECOM00000093,P0070,2,29.09,58.18
ECOM00000093,P0078,2,22.36,44.72
ECOM00000093,P0066,1,7.45,7.45
ECOM00000093,P0097,1,53.61,53.61
ECOM00000094,P0007,2,32.31,64.62
ECOM00000094,P0023,3,3.97,11.91
ECOM00000094,P0034,2,15.38,30.76
ECOM00000094,P0050,1,23.89,23.89
ECOM00000094,P0013,3,9.93,29.79
ECOM00000095,P0049,2,3.44,6.88
ECOM00000095,P0013,3,4.31,12.93
ECOM00000095,P0018,3,12.68,38.04
ECOM00000095,P0026,1,57.82,57.82
ECOM00000096,P0074,2,49.72,99.44
ECOM00000096,P0009,1,70.37,70.37
ECOM00000096,P0027,2,7.89,15.78
ECOM00000096,P0072,3,5.36,16.08
ECOM00000096,P0066,3,15.83,47.49
ECOM00000097,P0082,3,10.38,31.14
ECOM00000097,P0080,2,78.33,156.66
ECOM00000098,P0020,3,12.91,38.73
ECOM00000098,P0003,3,7.69,23.07
ECOM00000098,P0061,1,37.39,37.39
ECOM00000098,P0077,1,48.9,48.9
ECOM00000099,P0048,1,70.88,70.88
ECOM00000099,P0096,1,85.49,85.49
ECOM00000100,P0017,3,14.8,44.4
ECOM00000100,P0039,2,50.77,101.54
ECOM00000100,P0016,3,10.36,31.08
ECOM00000100,P0054,1,18.92,18.92
ECOM00000100,P0014,1,66.99,66.99
ECOM00000101,P0033,1,63.91,63.91
ECOM00000101,P0070,1,30.29,30.29
ECOM00000101,P0034,1,58.98,58.98
ECOM00000101,P0043,1,21.1,21.1
ECOM00000101,P0095,1,79.97,79.97
ECOM00000102,P0070,1,34.4,34.4
ECOM00000102,P0003,3,12.15,36.45
ECOM00000102,P0083,1,140.14,140.14
ECOM00000103,P0069,3,22.86,68.58
ECOM00000103,P0013,1,22.69,22.69
ECOM00000103,P0028,3,3.34,10.02
ECOM00000103,P0012,1,10.99,10.99
ECOM00000103,P0048,3,18.64,55.92
ECOM00000104,P0016,1,32.26,32.26
ECOM00000104,P0097,1,12.28,12.28
ECOM00000104,P0087,3,5.22,15.66
ECOM00000104,P0069,1,6.4,6.4
ECOM00000104,P0070,1,12.91,12.91
ECOM00000105,P0090,2,27.38,54.76
ECOM00000105,P0072,1,53.87,53.87
ECOM00000105,P0040,3,9.67,29.01
ECOM00000105,P0049,1,80.8,80.8
ECOM00000106,P0052,3,4.56,13.68
ECOM00000106,P0093,2,31.86,63.72
ECOM00000106,P0085,3,9.43,28.29
ECOM00000106,P0065,2,25.5,51.0
ECOM00000107,P0012,2,63.03,126.06
ECOM00000108,P0032,2,39.51,79.02
ECOM00000108,P0019,1,170.57,170.57
ECOM00000109,P0070,2,34.51,69.02
ECOM00000109,P0036,2,17.61,35.22
ECOM00000109,P0047,1,11.62,11.62
ECOM00000109,P0045,2,25.65,51.3
ECOM00000110,P0065,1,17.19,17.19
ECOM00000110,P0053,1,48.76,48.76
ECOM00000110,P0017,1,23.08,23.08
ECOM00000110,P0045,2,7.34,14.68
ECOM00000110,P0082,1,36.54,36.54
ECOM00000111,P0045,2,14.13,28.26
ECOM00000111,P0049,2,13.92,27.84
ECOM00000111,P0062,1,77.91,77.91
ECOM00000111,P0008,2,14.35,28.7
ECOM00000111,P0075,3,20.15,60.45
ECOM00000112,P0100,2,4.5,9.0
ECOM00000112,P0009,1,7.3,7.3
ECOM00000112,P0012,2,7.37,14.74
ECOM00000112,P0060,2,8.18,16.36
ECOM00000113,P0080,3,72.27,216.81
ECOM00000114,P0052,1,110.89,110.89
ECOM00000114,P0044,1,23.41,23.41
ECOM00000114,P0028,1,98.38,98.38
ECOM00000115,P0058,1,79.05,79.05
ECOM00000116,P0017,1,26.63,26.63
ECOM00000116,P0025,1,206.81,206.81
ECOM00000117,P0068,1,82.83,82.83
ECOM00000117,P0089,2,12.04,24.08
ECOM00000117,P0097,2,36.63,73.26
ECOM00000118,P0040,2,12.32,24.64
ECOM00000118,P0065,2,8.36,16.72
ECOM00000118,P0003,3,6.76,20.28
ECOM00000119,P0038,3,3.8,11.4
ECOM00000119,P0056,2,4.17,8.34
ECOM00000119,P0020,1,11.91,11.91
ECOM00000120,P0006,3,6.0,18.0
ECOM00000120,P0066,3,34.8,104.4
ECOM00000120,P0011,3,2.46,7.38
ECOM00000120,P0022,2,68.02,136.04
ECOM00000121,P0028,1,74.53,74.53
ECOM00000121,P0020,2,43.61,87.22
ECOM00000122,P0087,2,15.52,31.04
ECOM00000122,P0019,2,48.36,96.72
ECOM00000122,P0027,1,134.51,134.51
ECOM00000123,P0044,2,19.7,39.4
ECOM00000123,P0084,2,24.39,48.78
ECOM00000123,P0020,3,6.57,19.71
ECOM00000123,P0030,2,28.24,56.48
ECOM00000124,P0002,1,7.52,7.52
ECOM00000124,P0066,2,108.47,216.94
ECOM00000125,P0066,2,21.13,42.26
ECOM00000125,P0002,2,41.52,83.04
ECOM00000126,P0009,1,33.22,33.22
ECOM00000126,P0017,2,38.3,76.6
ECOM00000127,P0046,3,2.22,6.66
ECOM00000127,P0077,1,158.92,158.92
ECOM00000128,P0060,1,36.11,36.11
ECOM00000128,P0002,2,24.77,49.54
ECOM00000128,P0016,2,7.45,14.9
ECOM00000128,P0082,1,66.24,66.24
ECOM00000128,P0005,2,39.54,79.08
ECOM00000129,P0063,1,21.64,21.64
ECOM00000129,P0008,3,10.59,31.77
ECOM00000129,P0061,3,11.47,34.41
ECOM00000129,P0051,1,10.33,10.33
ECOM00000129,P0012,1,114.71,114.71
ECOM00000130,P0011,1,39.09,39.09
ECOM00000130,P0077,2,9.12,18.24
ECOM00000130,P0029,2,8.59,17.18
ECOM00000130,P0043,2,9.73,19.46
ECOM00000131,P0092,2,68.22,136.44
ECOM00000132,P0087,1,48.32,48.32
ECOM00000132,P0047,2,39.85,79.7
ECOM00000132,P0024,1,30.8,30.8
ECOM00000132,P0086,2,3.25,6.5
ECOM00000132,P0049,1,52.87,52.87
ECOM00000133,P0038,2,27.82,55.64
ECOM00000133,P0033,1,15.1,15.1
ECOM00000133,P0082,2,47.93,95.86
ECOM00000134,P0017,3,29.15,87.45
ECOM00000134,P0099,3,53.31,159.93
ECOM00000135,P0018,3,14.61,43.83
ECOM00000135,P0037,3,46.49,139.47
ECOM00000136,P0098,3,24.51,73.53
ECOM00000136,P0004,1,7.92,7.92
ECOM00000136,P0014,1,116.58,116.58
ECOM00000137,P0008,3,2.58,7.74
ECOM00000137,P0042,1,6.94,6.94
ECOM00000137,P0055,3,3.7,11.1
ECOM00000137,P0098,3,4.03,12.09
ECOM00000138,P0091,3,49.73,149.19
ECOM00000139,P0031,2,4.37,8.74
ECOM00000139,P0042,3,34.0,102.0
ECOM00000140,P0058,1,7.07,7.07
ECOM00000140,P0071,2,14.57,29.14
ECOM00000141,P0082,1,259.17,259.17
ECOM00000142,P0026,1,5.63,5.63
ECOM00000142,P0051,3,13.84,41.52
ECOM00000143,P0084,1,40.31,40.31
ECOM00000143,P0020,3,10.18,30.54
ECOM00000143,P0034,3,15.47,46.41
ECOM00000143,P0085,2,9.3,18.6
ECOM00000143,P0042,1,50.93,50.93
ECOM00000144,P0042,1,8.83,8.83
ECOM00000144,P0013,2,12.91,25.82
ECOM00000145,P0047,3,8.8,26.4
ECOM00000145,P0085,2,8.87,17.74
ECOM00000145,P0024,2,89.36,178.72
ECOM00000146,P0014,1,43.28,43.28
ECOM00000146,P0088,1,23.19,23.19
ECOM00000146,P0015,1,15.06,15.06
ECOM00000146,P0087,1,16.33,16.33
ECOM00000146,P0001,2,29.92,59.84
ECOM00000147,P0095,3,6.72,20.16
ECOM00000147,P0018,3,18.74,56.22
ECOM00000148,P0044,1,16.0,16.0
ECOM00000148,P0014,2,11.41,22.82
ECOM00000148,P0001,2,11.12,22.24
ECOM00000148,P0010,1,97.44,97.44
ECOM00000149,P0017,3,21.53,64.59
ECOM00000149,P0073,1,80.28,80.28
ECOM00000149,P0067,3,33.68,101.04
ECOM00000150,P0003,2,49.15,98.3
ECOM00000150,P0075,1,135.89,135.89
ECOM00000151,P0052,1,10.07,10.07
ECOM00000151,P0072,2,2.81,5.62
ECOM00000151,P0047,2,2.35,4.7
ECOM00000151,P0036,1,2.06,2.06
ECOM00000152,P0014,2,5.7,11.4
ECOM00000152,P0073,2,34.06,68.12
ECOM00000152,P0053,2,23.3,46.6
ECOM00000152,P0015,3,2.42,7.26
ECOM00000152,P0040,2,24.03,48.06
ECOM00000153,P0038,2,45.8,91.6
ECOM00000153,P0026,1,16.15,16.15
ECOM00000153,P0028,1,131.86,131.86
ECOM00000154,P0080,2,129.46,258.92
ECOM00000155,P0038,3,63.36,190.08
ECOM00000156,P0017,1,21.84,21.84
ECOM00000156,P0063,3,14.05,42.15
ECOM00000156,P0096,2,26.61,53.22
ECOM00000156,P0035,3,41.39,124.17
ECOM00000157,P0032,1,51.68,51.68
ECOM00000157,P0043,1,6.79,6.79
ECOM00000157,P0100,3,21.8,65.4
ECOM00000158,P0047,1,217.83,217.83
ECOM00000159,P0090,3,37.27,111.81
ECOM00000160,P0025,1,26.06,26.06
ECOM00000160,P0069,1,195.43,195.43
ECOM00000161,P0091,2,22.36,44.72
ECOM00000162,P0086,2,47.63,95.26
ECOM00000162,P0087,2,16.31,32.62
ECOM00000162,P0063,2,36.69,73.38
ECOM00000163,P0060,2,18.62,37.24
ECOM00000163,P0017,1,40.44,40.44
ECOM00000163,P0071,1,25.18,25.18
ECOM00000163,P0053,2,3.03,6.06
ECOM00000163,P0029,1,35.98,35.98
ECOM00000164,P0072,2,23.02,46.04
ECOM00000164,P0089,2,12.65,25.3
ECOM00000164,P0051,2,6.5,13.0
ECOM00000164,P0043,1,14.98,14.98
ECOM00000165,P0010,2,17.25,34.5
ECOM00000165,P0056,2,11.55,23.1
ECOM00000165,P0009,1,13.01,13.01
ECOM00000165,P0051,1,5.4,5.4
ECOM00000165,P0092,2,11.99,23.98
ECOM00000166,P0064,1,30.76,30.76
ECOM00000166,P0078,1,39.18,39.18
ECOM00000166,P0034,3,8.09,24.27
ECOM00000166,P0003,2,17.81,35.62
ECOM00000167,P0029,1,61.89,61.89
ECOM00000167,P0015,3,4.84,14.52
ECOM00000167,P0014,3,31.08,93.24
ECOM00000168,P0089,1,42.27,42.27
ECOM00000168,P0056,2,20.64,41.28
ECOM00000168,P0008,2,69.68,139.36
ECOM00000169,P0040,1,89.04,89.04
ECOM00000169,P0019,2,7.46,14.92
ECOM00000169,P0052,3,17.87,53.61
ECOM00000169,P0074,3,9.13,27.39
ECOM00000169,P0076,2,27.94,55.88
ECOM00000170,P0049,3,48.6,145.8
ECOM00000171,P0043,2,18.84,37.68
ECOM00000171,P0031,2,4.51,9.02
ECOM00000171,P0081,2,19.7,39.4
ECOM00000172,P0013,1,37.85,37.85
ECOM00000172,P0059,3,2.71,8.13
ECOM00000172,P0082,1,21.26,21.26
ECOM00000172,P0072,2,85.0,170.0
ECOM00000173,P0100,1,18.15,18.15
ECOM00000173,P0089,2,94.48,188.96
ECOM00000174,P0076,1,29.66,29.66
ECOM00000174,P0059,1,22.28,22.28
ECOM00000174,P0082,2,30.5,61.0
ECOM00000174,P0036,3,10.04,30.12
ECOM00000174,P0089,1,45.93,45.93
ECOM00000175,P0025,2,11.35,22.7
ECOM00000175,P0048,1,81.93,81.93
ECOM00000176,P0019,1,45.99,45.99
ECOM00000176,P0038,3,3.7,11.1
ECOM00000176,P0064,3,30.64,91.92
ECOM00000177,P0042,2,2.57,5.14
ECOM00000177,P0027,3,4.12,12.36
ECOM00000177,P0030,3,2.08,6.24
ECOM00000177,P0082,1,5.0,5.0
ECOM00000177,P0036,3,1.56,4.68
ECOM00000178,P0074,2,7.0,14.0
ECOM00000178,P0002,1,18.68,18.68
ECOM00000179,P0005,2,77.12,154.24
ECOM00000180,P0096,3,17.78,53.34
ECOM00000180,P0058,2,64.18,128.36
ECOM00000181,P0064,1,211.49,211.49
ECOM00000182,P0048,2,31.45,62.9
ECOM00000182,P0091,2,38.26,76.52
ECOM00000183,P0087,1,88.98,88.98
ECOM00000183,P0008,3,9.84,29.52
ECOM00000183,P0052,1,91.45,91.45
ECOM00000184,P0075,3,17.75,53.25
ECOM00000185,P0052,2,19.16,38.32
ECOM00000185,P0097,2,73.09,146.18
ECOM00000186,P0036,3,15.83,47.49
ECOM00000186,P0071,3,16.84,50.52
ECOM00000186,P0006,2,18.27,36.54
ECOM00000186,P0061,2,23.38,46.76
ECOM00000187,P0060,2,9.42,18.84
ECOM00000187,P0074,2,3.4,6.8
ECOM00000187,P0067,1,6.68,6.68
ECOM00000187,P0093,3,1.49,4.47
ECOM00000187,P0097,2,2.09,4.18
ECOM00000188,P0037,3,41.73,125.19
ECOM00000189,P0079,2,13.71,27.42
ECOM00000189,P0003,3,9.63,28.89
ECOM00000189,P0068,1,6.46,6.46
ECOM00000189,P0099,1,42.07,42.07
ECOM00000190,P0019,2,43.08,86.16
ECOM00000190,P0064,3,11.9,35.7
ECOM00000190,P0094,1,9.61,9.61
ECOM00000190,P0001,1,22.03,22.03
ECOM00000190,P0007,1,23.07,23.07
ECOM00000191,P0008,1,224.35,224.35
ECOM00000192,P0037,2,3.1,6.2
ECOM00000192,P0062,3,43.31,129.93
ECOM00000192,P0065,1,138.48,138.48
ECOM00000193,P0040,1,108.47,108.47
ECOM00000193,P0062,3,20.86,62.58
ECOM00000193,P0004,2,7.83,15.66
ECOM00000193,P0055,1,57.51,57.51
ECOM00000194,P0078,3,9.45,28.35
ECOM00000194,P0001,1,90.66,90.66
ECOM00000195,P0073,3,17.78,53.34
ECOM00000195,P0040,1,66.88,66.88
ECOM00000196,P0003,1,76.49,76.49
ECOM00000197,P0013,1,46.11,46.11
ECOM00000197,P0083,2,3.0,6.0
ECOM00000197,P0066,1,56.15,56.15
ECOM00000198,P0079,2,17.38,34.76
ECOM00000198,P0019,2,112.18,224.36
ECOM00000199,P0058,1,115.26,115.26
ECOM00000199,P0027,1,56.55,56.55
ECOM00000199,P0056,3,28.67,86.01
ECOM00000200,P0013,2,15.36,30.72
ECOM00000200,P0036,2,23.73,47.46
ECOM00000200,P0068,1,14.11,14.11
ECOM00000200,P0035,1,39.42,39.42
ECOM00000201,P0001,3,5.43,16.29
ECOM00000201,P0011,2,29.64,59.28
ECOM00000201,P0075,3,20.14,60.42
ECOM00000202,P0090,3,39.53,118.59
ECOM00000202,P0063,3,49.64,148.92
ECOM00000203,P0017,2,27.95,55.9
ECOM00000203,P0053,1,137.54,137.54
ECOM00000204,P0082,1,97.01,97.01
ECOM00000204,P0081,1,114.13,114.13
ECOM00000205,P0052,2,13.12,26.24
ECOM00000205,P0053,1,25.13,25.13
ECOM00000205,P0065,1,24.84,24.84
